FECHA;CLASE;DIA_NOMBRE;PERIODO;FESTIVO;NAVIDAD;SEMSANTA;ESCOLAR;ACCIDENTES
2019-02-22;INCENDIO;VIERNES;2019;No;No;No;No;1
2019-02-22;OTRO;VIERNES;2019;No;No;No;No;14
2019-02-22;VOLCAMIENTO;VIERNES;2019;No;No;No;No;4
2019-02-23;ATROPELLO;SABADO;2019;No;No;No;No;12
2019-02-23;CAIDA OCUPANTE;SABADO;2019;No;No;No;No;10
2019-02-23;CHOQUE;SABADO;2019;No;No;No;No;79
2019-02-23;INCENDIO;SABADO;2019;No;No;No;No;1
2019-02-23;OTRO;SABADO;2019;No;No;No;No;13
2019-02-23;VOLCAMIENTO;SABADO;2019;No;No;No;No;4
2019-02-24;ATROPELLO;DOMINGO;2019;No;No;No;No;8
2019-02-24;CAIDA OCUPANTE;DOMINGO;2019;No;No;No;No;7
2019-02-24;CHOQUE;DOMINGO;2019;No;No;No;No;53
2019-02-24;INCENDIO;DOMINGO;2019;No;No;No;No;1
2019-02-24;OTRO;DOMINGO;2019;No;No;No;No;9
2019-02-24;VOLCAMIENTO;DOMINGO;2019;No;No;No;No;3
2019-02-25;ATROPELLO;LUNES;2019;No;No;No;No;12
2019-02-25;CAIDA OCUPANTE;LUNES;2019;No;No;No;No;11
2019-02-25;CHOQUE;LUNES;2019;No;No;No;No;81
2019-02-25;INCENDIO;LUNES;2019;No;No;No;No;1
2019-02-25;OTRO;LUNES;2019;No;No;No;No;13
2019-02-25;VOLCAMIENTO;LUNES;2019;No;No;No;No;4
2019-02-26;ATROPELLO;MARTES;2019;No;No;No;No;13
2019-02-26;CAIDA OCUPANTE;MARTES;2019;No;No;No;No;11
2019-02-26;CHOQUE;MARTES;2019;No;No;No;No;86
2019-02-26;INCENDIO;MARTES;2019;No;No;No;No;1
2019-02-26;OTRO;MARTES;2019;No;No;No;No;14
2019-02-26;VOLCAMIENTO;MARTES;2019;No;No;No;No;4
2019-02-27;ATROPELLO;MIERCOLES;2019;No;No;No;No;12
2019-02-27;CAIDA OCUPANTE;MIERCOLES;2019;No;No;No;No;11
2019-02-27;CHOQUE;MIERCOLES;2019;No;No;No;No;84
2019-02-27;INCENDIO;MIERCOLES;2019;No;No;No;No;1
2019-02-27;OTRO;MIERCOLES;2019;No;No;No;No;14
2019-02-27;VOLCAMIENTO;MIERCOLES;2019;No;No;No;No;4
2019-02-28;ATROPELLO;JUEVES;2019;No;No;No;No;12
2019-02-28;CAIDA OCUPANTE;JUEVES;2019;No;No;No;No;11
2019-02-28;CHOQUE;JUEVES;2019;No;No;No;No;84
2019-02-28;INCENDIO;JUEVES;2019;No;No;No;No;1
2019-02-28;OTRO;JUEVES;2019;No;No;No;No;14
2019-02-28;VOLCAMIENTO;JUEVES;2019;No;No;No;No;4
2019-03-01;ATROPELLO;VIERNES;2019;No;No;No;No;13
2019-03-01;CAIDA OCUPANTE;VIERNES;2019;No;No;No;No;12
2019-03-01;CHOQUE;VIERNES;2019;No;No;No;No;88
2019-03-01;INCENDIO;VIERNES;2019;No;No;No;No;1
2019-03-01;OTRO;VIERNES;2019;No;No;No;No;14
2019-03-01;VOLCAMIENTO;VIERNES;2019;No;No;No;No;4
2019-03-02;ATROPELLO;SABADO;2019;No;No;No;No;12
2019-03-02;CAIDA OCUPANTE;SABADO;2019;No;No;No;No;10
2019-03-02;CHOQUE;SABADO;2019;No;No;No;No;79
2019-03-02;INCENDIO;SABADO;2019;No;No;No;No;1
2019-03-02;OTRO;SABADO;2019;No;No;No;No;13
2019-03-02;VOLCAMIENTO;SABADO;2019;No;No;No;No;4
2019-03-03;ATROPELLO;DOMINGO;2019;No;No;No;No;8
2019-03-03;CAIDA OCUPANTE;DOMINGO;2019;No;No;No;No;7
2019-03-03;CHOQUE;DOMINGO;2019;No;No;No;No;53
