FECHA,CLASE,total_accidentes,MES,FESTIVO,MADRE,NAVIDAD,BRUJITOS,SEMSANTA,ESCOLAR,DIA_NOMBRE,SEMANA,PERIODO
2019-02-20,VOLCAMIENTO,3,02,No,No,No,No,No,No,MIERCOLES,8,2019
2019-02-21,ATROPELLO,5,02,No,No,No,No,No,No,JUEVES,8,2019
2019-02-21,CAIDA OCUPANTE,17,02,No,No,No,No,No,No,JUEVES,8,2019
2019-02-21,CHOQUE,81,02,No,No,No,No,No,No,JUEVES,8,2019
2019-02-21,OTRO,16,02,No,No,No,No,No,No,JUEVES,8,2019
2019-02-21,VOLCAMIENTO,1,02,No,No,No,No,No,No,JUEVES,8,2019
2019-02-22,ATROPELLO,13,02,No,No,No,No,No,No,VIERNES,8,2019
2019-02-22,CAIDA OCUPANTE,9,02,No,No,No,No,No,No,VIERNES,8,2019
2019-02-22,CHOQUE,81,02,No,No,No,No,No,No,VIERNES,8,2019
2019-02-22,OTRO,16,02,No,No,No,No,No,No,VIERNES,8,2019
2019-02-22,VOLCAMIENTO,6,02,No,No,No,No,No,No,VIERNES,8,2019
2019-02-23,ATROPELLO,13,02,No,No,No,No,No,No,SABADO,8,2019
2019-02-23,CAIDA OCUPANTE,19,02,No,No,No,No,No,No,SABADO,8,2019
2019-02-23,CHOQUE,102,02,No,No,No,No,No,No,SABADO,8,2019
2019-02-23,OTRO,4,02,No,No,No,No,No,No,SABADO,8,2019
2019-02-23,VOLCAMIENTO,3,02,No,No,No,No,No,No,SABADO,8,2019
2019-02-24,ATROPELLO,6,02,No,No,No,No,No,No,DOMINGO,8,2019
2019-02-24,CAIDA OCUPANTE,9,02,No,No,No,No,No,No,DOMINGO,8,2019
2019-02-24,CHOQUE,70,02,No,No,No,No,No,No,DOMINGO,8,2019
2019-02-24,OTRO,10,02,No,No,No,No,No,No,DOMINGO,8,2019
2019-02-24,VOLCAMIENTO,6,02,No,No,No,No,No,No,DOMINGO,8,2019
2019-02-25,ATROPELLO,4,02,No,No,No,No,No,No,LUNES,8,2019
2019-02-25,CAIDA OCUPANTE,7,02,No,No,No,No,No,No,LUNES,8,2019
2019-02-25,CHOQUE,53,02,No,No,No,No,No,No,LUNES,8,2019
2019-02-25,OTRO,8,02,No,No,No,No,No,No,LUNES,8,2019
2019-02-25,VOLCAMIENTO,3,02,No,No,No,No,No,No,LUNES,8,2019
2019-02-26,ATROPELLO,9,02,No,No,No,No,No,No,MARTES,9,2019
2019-02-26,CAIDA OCUPANTE,15,02,No,No,No,No,No,No,MARTES,9,2019
2019-02-26,CHOQUE,81,02,No,No,No,No,No,No,MARTES,9,2019
2019-02-26,OTRO,10,02,No,No,No,No,No,No,MARTES,9,2019
2019-02-26,VOLCAMIENTO,1,02,No,No,No,No,No,No,MARTES,9,2019
2019-02-27,ATROPELLO,5,02,No,No,No,No,No,No,MIERCOLES,9,2019
2019-02-27,CAIDA OCUPANTE,4,02,No,No,No,No,No,No,MIERCOLES,9,2019
2019-02-27,CHOQUE,71,02,No,No,No,No,No,No,MIERCOLES,9,2019
2019-02-27,OTRO,6,02,No,No,No,No,No,No,MIERCOLES,9,2019
2019-02-27,VOLCAMIENTO,1,02,No,No,No,No,No,No,MIERCOLES,9,2019
2019-02-28,ATROPELLO,9,02,No,No,No,No,No,No,JUEVES,9,2019
2019-02-28,CAIDA OCUPANTE,8,02,No,No,No,No,No,No,JUEVES,9,2019
2019-02-28,CHOQUE,87,02,No,No,No,No,No,No,JUEVES,9,2019
2019-02-28,OTRO,11,02,No,No,No,No,No,No,JUEVES,9,2019
2019-02-28,VOLCAMIENTO,2,02,No,No,No,No,No,No,JUEVES,9,2019
2019-03-01,ATROPELLO,14,03,No,No,No,No,No,No,VIERNES,9,2019
2019-03-01,CAIDA OCUPANTE,10,03,No,No,No,No,No,No,VIERNES,9,2019
2019-03-01,CHOQUE,93,03,No,No,No,No,No,No,VIERNES,9,2019
2019-03-01,OTRO,11,03,No,No,No,No,No,No,VIERNES,9,2019
2019-03-01,VOLCAMIENTO,9,03,No,No,No,No,No,No,VIERNES,9,2019
2019-03-02,ATROPELLO,8,03,No,No,No,No,No,No,SABADO,9,2019
2019-03-02,CAIDA OCUPANTE,5,03,No,No,No,No,No,No,SABADO,9,2019
2019-03-02,CHOQUE,92,03,No,No,No,No,No,No,SABADO,9,2019
2019-03-02,OTRO,11,03,No,No,No,No,No,No,SABADO,9,2019
2019-03-02,VOLCAMIENTO,3,03,No,No,No,No,No,No,SABADO,9,2019
2019-03-03,ATROPELLO,15,03,No,No,No,No,No,No,DOMINGO,9,2019
2019-03-03,CAIDA OCUPANTE,22,03,No,No,No,No,No,No,DOMINGO,9,2019
2019-03-03,CHOQUE,85,03,No,No,No,No,No,No,DOMINGO,9,2019
2019-03-03,OTRO,7,03,No,No,No,No,No,No,DOMINGO,9,2019
2019-03-03,VOLCAMIENTO,4,03,No,No,No,No,No,No,DOMINGO,9,2019
2019-03-04,ATROPELLO,9,03,Si,No,No,No,No,No,LUNES,9,2019
2019-03-04,CAIDA OCUPANTE,7,03,Si,No,No,No,No,No,LUNES,9,2019
2019-03-04,CHOQUE,50,03,Si,No,No,No,No,No,LUNES,9,2019
2019-03-04,OTRO,4,03,Si,No,No,No,No,No,LUNES,9,2019
2019-03-04,VOLCAMIENTO,2,03,Si,No,No,No,No,No,LUNES,9,2019
2019-03-05,ATROPELLO,10,03,No,No,No,No,No,No,MARTES,10,2019
2019-03-05,CAIDA OCUPANTE,17,03,No,No,No,No,No,No,MARTES,10,2019
2019-03-05,CHOQUE,94,03,No,No,No,No,No,No,MARTES,10,2019
2019-03-05,OTRO,17,03,No,No,No,No,No,No,MARTES,10,2019
2019-03-05,VOLCAMIENTO,1,03,No,No,No,No,No,No,MARTES,10,2019
2019-03-06,ATROPELLO,10,03,No,No,No,No,No,No,MIERCOLES,10,2019
